FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName
1189788;2014;Carbon dioxide (CO2);1.35;Turun Seudun Energiantuotanto Oy, Naantalin voimalaitos;NAANTALI;Finland;60.4585;22.0536;Production of electricity
1228968;2014;Carbon dioxide (CO2);1.63;Akcin? bendrov? `ORLEN Lietuva`;Juodeikiai;Lithuania;56.312821;22.914165;Manufacture of refined petroleum products
1228969;2014;Carbon dioxide (CO2);0.394;Lietuvos elektrin?;Elektr?nai;Lithuania;54.781038;24.644315;Production of electricity
1228976;2014;Carbon dioxide (CO2);0.257;Termofikacin? elektrin? Nr. 2 (E-2);Vilnius;Lithuania;54.666087;25.235453;Steam and air conditioning supply
1228984;2014;Carbon dioxide (CO2);2.38;AB `Achema`;Jonalaukis;Lithuania;55.082596;24.33405;Manufacture of fertilisers and nitrogen compounds
1228986;2014;Carbon dioxide (CO2);0.807;AB `Akmen?s cementas`;Naujoji Akmen?;Lithuania;56.312821;22.914165;Manufacture of cement
1228990;2014;Carbon dioxide (CO2);0.2;Kauno elektrine;Kaunas;Lithuania;54.92009;24.019529;Distribution of electricity
1229032;2014;Carbon dioxide (CO2);0.207;Termofikacin? elektrin? Nr. 3 (E-3);Vilnius;Lithuania;54.667798;25.155883;Steam and air conditioning supply
1229086;2014;Carbon dioxide (CO2);0.186;ArcelorMittal Belval & Differdange (Site de Differdange);Esch-sur-Alzette;Luxembourg;49.52597;5.89753;Manufacture of basic iron and steel and of ferro-alloys
1229087;2014;Carbon dioxide (CO2);0.586;Cimalux;Rumelange;Luxembourg;49.45300566;6.012933254;Manufacture of cement
1229089;2014;Carbon dioxide (CO2);0.44;Twinerg;Esch-sur-Alzette;Luxembourg;49.510957;5.963556;Production of electricity
1229093;2014;Carbon dioxide (CO2);0.192;ArcelorMittal Belval & Differdange (Site de Belval);Esch-sur-Alzette;Luxembourg;49.5019;5.95579;Manufacture of basic iron and steel and of ferro-alloys
1229094;2014;Carbon dioxide (CO2);0.112;Guardian Luxguard I;Bascharage;Luxembourg;49.56444;5.93644;Manufacture of flat glass
1229099;2014;Carbon dioxide (CO2);0.11;Guardian Luxguard II;Dudelange;Luxembourg;49.50467;6.078779;Manufacture of flat glass
1229100;2014;Carbon dioxide (CO2);0.144;SIDOR;Leudelange;Luxembourg;49.55366;6.06958;Treatment and disposal of non-hazardous waste
1229110;2014;Carbon dioxide (CO2);0.106;R?GAS SILTUMS AS, SC IMANTA;R?ga;Latvia;56.96226;24.03608;Steam and air conditioning supply
1229124;2014;Carbon dioxide (CO2);0.311;LATVENERGO AS, TEC-1;R?ga;Latvia;56.989796;24.183068;Production of electricity
1229130;2014;Carbon dioxide (CO2);0.802;CEMEX SIA, Broc?nu cementa r?pn?ca;Broc?nu nov.;Latvia;56.701943;22.571391;Manufacture of cement
1229149;2014;Carbon dioxide (CO2);0.627;LATVENERGO AS, R?gas TEC-2;Salaspils nov.;Latvia;56.915549;24.272512;Production of electricity
1233732;2014;Carbon dioxide (CO2);0.206;System Gazoci?gów Tranzytowych `EUROPOL GAZ` S.A., T?ocznia i Pomiarownia Kondratki;Kondratki;Poland;53.017778;23.895278;Transport via pipeline
1233733;2014;Carbon dioxide (CO2);0.173;Energetyka Cieplna Opolszczyzny S.A., Oddzia? Opole, Ciep?ownia Centralna K-173;Opole;Poland;50.684822;17.921907;Steam and air conditioning supply
1233734;2014;Carbon dioxide (CO2);0.188;EDF Toru? S.A.;Toru?;Poland;53.047953;18.693303;Production of electricity
1233735;2014;Carbon dioxide (CO2);0.3;CHP Cz?stochowa;Cz?stochowa;Poland;50.7945;19.144;Production of electricity
1233738;2014;Carbon dioxide (CO2);0.117;Elektrociep?ownia  `Zofiówka` Oddzia? `Moszczenica`;Jastrz?bie Zdrój;Poland;49.942079;18.569813;Production of electricity
1233740;2014;Carbon dioxide (CO2);0.205;Fortum Bytom S..A., Elektrociep?ownia Miechowice;Bytom;Poland;50.348664;18.843055;Production of electricity
1233744;2014;Carbon dioxide (CO2);1.82;Grupa LOTOS S.A.;Gda?sk;Poland;54.345;18.732;Manufacture of refined petroleum products
1233746;2014;Carbon dioxide (CO2);0.122;Polchar Sp. z o.o.;Kostrzyn nad Odr?;Poland;52.592762;14.629818;Manufacture of coke oven products
1233748;2014;Carbon dioxide (CO2);0.444;PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddzia? Elektrociep?ownia Gorzów;Gorzów Wlkp.;Poland;52.748525;15.267371;Production of electricity
