FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName;TotalQuantity;UnitName
262514;2004;Carbon monoxide (CO);0.027;COCKERILL SAMBRE SA - CHERTAL (ACIERIE, CC, LAMINOIR A CHAUD);;Belgium;50.6908;5.66;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;27000000;kilogram
262517;2004;Carbon monoxide (CO);0.00433;BASF - SITE DE FELUY;;Belgium;50.5369;4.2186;Manufacture of other organic basic chemicals;4330000;kilogram
285408;2009;Carbon monoxide (CO);0.00124;AALBORG PORTLAND A/S;Aalborg Øst;Denmark;57.06253862;9.976490263;Manufacture of cement;1240000;kilogram
285434;2009;Carbon monoxide (CO);0.00244;Rockwool A/S - Doense;Hobro;Denmark;56.7157667;9.841064032;Manufacture of other non-metallic mineral products n.e.c.;2440000;kilogram
285792;2009;Carbon monoxide (CO);0.000907;DONG ENERGY POWER A/S;Hvidovre;Denmark;55.603214;12.48041861;Production of electricity;907000;kilogram
285880;2009;Carbon monoxide (CO);0.000761;Kunda Nordic Tsement AS, Kunda tsemenditehas;Kunda linn;Estonia;59.496446;26.531105;Manufacture of cement;761000;kilogram
285889;2009;Carbon monoxide (CO);0.0193;Eesti Energia Õlitööstus AS, Auvere põlevkiviõlitehas;Auvere küla, Vaivara vald;Estonia;59.273228;27.895653;Manufacture of refined petroleum products;19300000;kilogram
285976;2009;Carbon monoxide (CO);0.000599;Stora Enso Oyj, Varkauden tehtaat;VARKAUS;Finland;62.318091;27.898534;Manufacture of pulp;599000;kilogram
286039;2009;Carbon monoxide (CO);0.000602;Helsingin Energia, Vuosaaren voimalaitokset;HELEN;Finland;60.219763;25.169184;Steam and air conditioning supply;602000;kilogram
286048;2009;Carbon monoxide (CO);0.00174;Neste Oil Oyj, Porvoon jalostamo;PORVOO;Finland;60.311697;25.523216;Manufacture of refined petroleum products;1740000;kilogram
286052;2009;Carbon monoxide (CO);0.00144;FNsteel Oy Ab, Koverharin terästehdas;LAPPOHJA;Finland;59.879937;23.208109;Manufacture of basic iron and steel and of ferro-alloys;1440000;kilogram
286096;2009;Carbon monoxide (CO);0.00137;Kotkamills Oy;KOTKA;Finland;60.466185;26.957689;Manufacture of paper and paperboard;1370000;kilogram
286129;2009;Carbon monoxide (CO);0.00123;Stora Enso Oyj, Heinolan Flutingtehdas;HEINOLA;Finland;61.179212;26.081328;Manufacture of paper and paperboard;1230000;kilogram
286135;2009;Carbon monoxide (CO);0.00216;Vattenfall Lämpö Oy, Vanajan voimalaitos, Hämeenlinna;HÄMEENLINNA;Finland;60.975638;24.505662;Steam and air conditioning supply;2160000;kilogram
286205;2009;Carbon monoxide (CO);0.00283;Paroc Oy Ab, Paraisten kivivillatehdas;PARAINEN;Finland;60.296722;22.267811;Manufacture of other non-metallic mineral products n.e.c.;2830000;kilogram
286298;2009;Carbon monoxide (CO);0.00205;AVILON OY ( ent. KUITU FINLAND OY ent.Säteri Oy), Voimalaitos ja käyttöhyödykkeet;VALKEAKOSKI;Finland;61.278531;24.047384;Production of electricity;2050000;kilogram
286380;2009;Carbon monoxide (CO);0.00153;PAROC OY AB, Perustuotanto, Oulu;OULU;Finland;65.053566;25.553746;Manufacture of other non-metallic mineral products n.e.c.;1530000;kilogram
293615;2007;Carbon monoxide (CO);0.000509;Wienerberger Téglaipari Zrt.;?rbottyán;Hungary;47.691926;19.25561;Manufacture of bricks, tiles and construction products, in baked clay;509000;kilogram
293628;2007;Carbon monoxide (CO);0.0245;ISD Dunaferr Zrt.;Dunaújváros;Hungary;46.943314;18.940529;Manufacture of basic iron and steel and of ferro-alloys;24500000;kilogram
293686;2007;Carbon monoxide (CO);0.000613;Holcim Hungária Zrt.;Lábatlan;Hungary;47.7510882;18.5063592;Manufacture of cement;613000;kilogram
293688;2007;Carbon monoxide (CO);0.000833;Vértesi Er?m? Zrt.;Oroszlány;Hungary;47.501688;18.271041;Production of electricity;833000;kilogram
293697;2007;Carbon monoxide (CO);0.000883;Nitrogénm?vek Zrt.;Pétfürd?;Hungary;47.158499;18.139487;Manufacture of fertilisers and nitrogen compounds;883000;kilogram
293709;2007;Carbon monoxide (CO);0.000686;Leier  Hungaria  Kft.;Devecser;Hungary;47.071445;17.425107;Manufacture of bricks, tiles and construction products, in baked clay;686000;kilogram
293816;2007;Carbon monoxide (CO);0.00234;Duna-Dráva Cement Kft.;Beremend;Hungary;45.811201;18.398833;Manufacture of cement;2340000;kilogram
293932;2007;Carbon monoxide (CO);0.00105;OAM Ózdi  Acélm?vek Kft.;Ózd;Hungary;48.242967;20.33348;Manufacture of basic iron and steel and of ferro-alloys;1050000;kilogram
293936;2007;Carbon monoxide (CO);0.00298;Mátrai Er?m? Zrt.;Visonta;Hungary;47.789759;20.066722;Production of electricity;2980000;kilogram
294800;2009;Carbon monoxide (CO);0.0147;ISD Dunaferr Zrt. Vasm?;Dunaújváros;Hungary;46.943314;18.940529;Manufacture of basic iron and steel and of ferro-alloys;14700000;kilogram
294881;2009;Carbon monoxide (CO);0.00103;Vértesi Er?m? Zrt.;Oroszlány;Hungary;47.501688;18.271041;Production of electricity;1030000;kilogram
294898;2009;Carbon monoxide (CO);0.000669;Leier  Hungaria  Kft.;Devecser;Hungary;47.071445;17.425107;Manufacture of bricks, tiles and construction products, in baked clay;669000;kilogram
295113;2009;Carbon monoxide (CO);0.000527;Holcim Hungária Zrt.;Miskolc;Hungary;48.065306;20.796874;Manufacture of cement;527000;kilogram
295115;2009;Carbon monoxide (CO);0.000551;OAM Ózdi  Acélm?vek Kft.;Ózd;Hungary;48.242967;20.33348;Manufacture of basic iron and steel and of ferro-alloys;551000;kilogram
295126;2009;Carbon monoxide (CO);0.00415;Mátrai Er?m? Zrt.;Visonta;Hungary;47.789759;20.066722;Production of electricity;4150000;kilogram
296637;2009;Carbon monoxide (CO);0.000679;"AB""Achema""";Jonalaukis;Lithuania;55.082595;24.334048;Manufacture of fertilisers and nitrogen compounds;679000;kilogram
296702;2009;Carbon monoxide (CO);0.00101;"AB ""Akmen?s cementas""";Naujoji Akmen?;Lithuania;56.312818;22.91416;Manufacture of cement;1010000;kilogram
296709;2009;Carbon monoxide (CO);0.00111;"AB ""ORLEN Lietuva""";Juodeikiai;Lithuania;56.39019;22.172084;Manufacture of refined petroleum products;1110000;kilogram
296734;2009;Carbon monoxide (CO);0.000508;Avebe u.a. (Ter Apelkanaal);TER APELKANAAL;Netherlands;52.92033;7.04635;Manufacture of starches and starch products;508000;kilogram
296737;2009;Carbon monoxide (CO);0.00529;Aluminium Delfzijl BV;Delfzijl;Netherlands;53.31235;6.97737;Aluminium production;5290000;kilogram
296745;2009;Carbon monoxide (CO);0.00152;Brunner Mond BV;Delfzijl;Netherlands;53.32073;6.94856;Manufacture of other inorganic basic chemicals;1520000;kilogram
296767;2009;Carbon monoxide (CO);0.00109;Suiker Unie Vierverlaten;Groningen;Netherlands;53.2154;6.49555;Manufacture of sugar;1090000;kilogram
297084;2009;Carbon monoxide (CO);0.06;Corus Staal BV;Velsen-Noord;Netherlands;52.47709;4.59271;Manufacture of basic iron and steel and of ferro-alloys;60000000;kilogram
297113;2009;Carbon monoxide (CO);0.000871;DSM Special Products Rotterdam BV;Rotterdam;Netherlands;51.88894;4.26533;Manufacture of other organic basic chemicals;871000;kilogram
297122;2009;Carbon monoxide (CO);0.00201;Aluminium & Chemie Rotterdam BV;Rotterdam;Netherlands;51.87289;4.31729;Manufacture of other electrical equipment;2010000;kilogram
297141;2009;Carbon monoxide (CO);0.00362;Shell Nederland Raffinaderij BV;ROTTERDAM;Netherlands;51.88183;4.34178;Manufacture of refined petroleum products;3620000;kilogram
297144;2009;Carbon monoxide (CO);0.00132;Esso Nederland BV (Raffinaderij Rotterdam);Rotterdam;Netherlands;51.87426;4.29112;Manufacture of refined petroleum products;1320000;kilogram
297203;2009;Carbon monoxide (CO);0.000591;E.On Benelux NV (Maasvlakte);ROTTERDAM;Netherlands;51.95944;4.02041;Production of electricity;591000;kilogram
